accession	phylum	class	species
GB_GCA_903915225	Nanobdellota	Nanobdellia	B29-G15 sp903915225
GB_GCA_003649685	Thermoproteota	Thermoprotei	B3-G16 sp003649665
GB_GCA_005222965	Nanobdellota	Nanobdellia	B3-WOES sp005222965
GB_GCA_029259155	Thermoproteota	Methanomethylicia	B40-G2 sp003649615
GB_GCA_029934485	Methanobacteriota_B	Thermococci	B48-G16 sp003660605
GB_GCA_021159325	Methanobacteriota_B	Thermococci	B48-G16 sp021159325
GB_GCA_019322625	Nanobdellota	Nanobdellia	B54-G15 sp003648985
GB_GCA_003662995	Halobacteriota	Archaeoglobi	B5-G16 sp003662995
GB_GCA_029259425	Halobacteriota	Archaeoglobi	B5-G16 sp021163065
GB_GCA_021162605	Thermoproteota	Bathyarchaeia	B63 sp003661975
GB_GCA_021158305	Thermoproteota	Bathyarchaeia	B63 sp021158305
GB_GCA_021498125	Asgardarchaeota	Thorarchaeia	B65-G9 sp021498125
GB_GCA_027031745	Asgardarchaeota	Thorarchaeia	B65-G9 sp029855935
GB_GCA_021161825	Thermoproteota	Thermoprotei	B69-G16 sp021161825
GB_GCA_003649715	Thermoplasmatota	E2	B82-G9 sp003649715
GB_GCA_027065205	Thermoplasmatota	Thermoplasmata	B87-G9 sp003649695
GB_GCA_003660555	Hadarchaeota	B88-G9	B88-G9 sp003660555
GB_GCA_021158325	Thermoplasmatota	E2	B8-G13 sp003649745
GB_GCA_029258885	Thermoproteota	Thermoprotei	B9-G17 sp003649225
GB_GCA_005888735	Thermoproteota	Bathyarchaeia	BA-19 sp005888735
GB_GCA_001399795	Thermoproteota	Bathyarchaeia	BA2 sp001399795
GB_GCA_937877725	Asgardarchaeota	Baldrarchaeia	Baldrarchaeum yapensis
GB_GCA_026014495	Thermoproteota	Bathyarchaeia	Bathyarchaeum sp026014495
GB_GCA_026014565	Thermoproteota	Bathyarchaeia	Bathyarchaeum sp026014565
GB_GCA_032598985	Thermoproteota	Bathyarchaeia	Bathyarchaeum tardum
GB_GCA_009781675	Thermoproteota	Bathyarchaeia	Bathycorpusculum acetigenes
GB_GCA_009786255	Thermoproteota	Bathyarchaeia	Bathycorpusculum acidaminoxidans
GB_GCA_009787175	Thermoproteota	Bathyarchaeia	Bathycorpusculum fermentans
GB_GCA_009776805	Thermoproteota	Bathyarchaeia	Bathycorpusculum grumuli
RS_GCF_009778815	Thermoproteota	Bathyarchaeia	Bathycorpusculum hydrogenotrophicum
GB_GCA_031277345	Thermoproteota	Bathyarchaeia	Bathycorpusculum soli
GB_GCA_003133625	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp003133625
GB_GCA_003141855	Thermoproteota	Bathyarchaeia	Bathycorpusculum sp003141855
